hotel_id,longitude,latitude
182174,108.464069,11.948605
185043,107.071922,10.348415
185923,107.102387,10.352009
185930,108.431668,11.942034
185936,108.439128,11.945315
185937,106.992304,20.928314
185968,108.114738,10.925791
186186,105.843921,21.029121
186561,109.197002,12.233672
186611,108.191165,10.940286
186695,106.643382,20.875751
186700,108.324041,15.922849
186715,108.368368,15.869792
186731,106.28853,20.935509
186778,105.843465,21.043271
186800,108.326616,15.880324
186819,107.597087,16.471448
186820,108.326719,15.88007
186900,105.857155,21.025196
186964,105.958586,20.274403
186991,109.196752,12.233563
187011,107.092667,10.342109
194445,105.848228,21.032476
198831,105.850745,21.031624
200539,106.664779,10.751981
200952,105.85435,21.032476
210187,109.196053,12.246417
216205,105.843515,21.023149
216223,109.038105,11.588321
222984,106.704698,10.779271
222994,106.693825,10.7701
223197,106.696716,10.7718
223212,107.59795,16.460318
223242,105.846953,21.038136
230119,106.69717,10.772961
230121,106.70295,10.778664
230151,106.697188,10.773548
230287,107.245376,10.381723
230295,106.597115,8.672839
230301,106.697919,10.774075
230302,105.848207,21.0284
230305,107.423372,10.469835
230306,106.696993,10.774238
230334,107.087487,10.329404
230359,109.192702,12.253792
230409,106.694203,10.768529
230435,107.053013,20.798164
230479,107.062871,10.366778
230575,105.856426,21.018195
230577,105.786495,10.034929
230586,103.842956,22.332948
230670,108.245856,16.049389
230673,109.191828,12.238652
230675,107.073934,10.349613
230684,105.834177,21.029232
230693,109.318778,13.100198
230699,105.845316,21.031325
230719,108.336257,15.880091
230721,105.85017,21.036266
230741,105.850021,21.011876
230767,105.839957,21.026692
234434,107.075189,10.343592
236996,106.698627,10.77401
237052,103.963982,10.198976
237074,103.964398,10.202257
237100,108.257645,16.027388
237103,103.963258,10.198279
237128,108.434469,11.945309
237265,105.852402,21.035325
237273,107.583028,16.457771
237288,108.244181,16.068493
237296,108.438026,11.938497
237299,108.453083,11.937059
237308,108.443725,11.967657
237314,106.696086,10.772308
237315,105.97852,20.251699
237358,108.445176,11.978193
237406,109.193829,12.236511
237410,109.193791,12.255407
237429,106.692838,10.771711
237458,107.072088,10.35166
237497,106.686371,10.757188
237529,108.255243,16.03111
237610,105.76754,21.027401
237709,106.697197,10.774106
237729,108.353731,15.902976
237735,106.698811,10.773472
237747,106.688452,10.769942
237755,105.852107,21.032994
237764,106.696486,10.771836
237790,105.852335,21.032992
237810,105.855246,21.031635
237812,106.695684,10.771847
237925,106.693795,10.771798
238009,105.853626,21.032346
238037,108.213412,16.066609
239368,108.172597,10.936006
239406,107.592824,16.46451
239407,107.592673,16.464732
239408,107.5899,16.460865
239419,106.803052,20.676355
239422,105.853524,21.034524
239423,105.850514,21.031495
239449,107.593274,16.469001
239466,105.84869,21.031898
239467,108.223684,16.070367
239482,109.195518,12.253016
239494,108.24187,16.073223
239497,105.855754,21.019515
239502,106.704068,10.774753
239593,106.688812,10.774938
239604,108.224226,16.07095
239635,105.85339,21.035609
239654,105.980407,20.251946
239657,106.602348,8.678948
239659,103.842449,22.336452
239766,107.595506,16.464979
239775,107.595455,16.464936
239776,107.590262,16.461677
239828,108.045677,12.684272
240057,107.594261,16.469938
240070,105.852467,21.033468
240079,108.223843,16.066733
240129,106.683245,10.768917
240224,105.788962,10.03485
240324,106.733953,10.815752
240576,108.808238,15.113314
240655,108.200129,10.945574
240663,108.335967,15.872445
240681,106.677965,10.797423
241110,105.782597,10.031545
241425,105.850332,21.031355
241509,105.848465,21.030403
241548,108.179927,10.943404
242025,106.63123,8.698304
245858,106.690147,10.771781
246215,106.668577,20.96152
246286,106.704739,10.777077
246309,105.848301,21.030305
246332,106.985795,20.920258
246334,106.984606,20.921136
246345,105.852161,21.024335
247355,105.796731,21.007759
247356,106.694051,10.770118
247372,105.827308,20.969064
247383,106.669846,10.799246
247384,105.812507,21.0279
247385,105.805807,21.009943
247445,105.853347,21.033703
247450,106.994251,20.935749
247526,105.824749,21.027759
247540,105.851957,21.034697
247587,105.803704,21.035941
247599,107.651811,16.560559
247696,107.596241,16.469017
247733,108.23076,10.955001
247789,107.0222,20.954526
247814,108.252706,10.951646
247936,107.055557,20.953547
247937,106.694283,10.768925
247939,106.694192,10.768969
247965,108.344615,10.990728
247990,105.836835,21.051822
248017,106.674092,10.778964
248052,108.258491,10.949548
248059,109.191948,12.213262
248060,106.69526,10.77205
248198,107.056076,20.952994
248199,107.056078,20.952986
248200,105.847253,21.030968
248399,105.85233,21.033135
248515,106.696515,10.774417
251640,106.673417,10.734214
251777,106.69428,10.772392
251872,107.600377,16.473251
251880,107.092379,10.350105
252330,105.847102,21.033878
253938,108.204346,10.947807
253957,108.191707,10.939422
253958,108.192142,10.942609
253966,105.853068,21.036382
254028,109.312943,13.094505
254039,107.073419,10.351244
254040,105.850477,21.032316
254048,109.320638,13.089511
254059,107.09125,10.337887
254879,107.103466,10.353331
254884,108.222586,16.066069
254905,108.293615,10.921427
254909,107.592931,16.464999
254913,107.064294,10.353078
254955,106.816788,10.927958
254996,107.063645,10.353642
255000,105.847102,21.030221
255004,106.768318,21.853891
255023,107.089882,10.334551
255043,106.690056,20.849237
255143,107.091152,10.337434
255197,105.648142,21.456883
255213,105.848127,21.032036
255225,108.220306,16.066261
255229,105.810399,21.026788
255243,105.906658,19.745216
255263,108.237334,16.07014
255279,106.679419,10.778582
255299,108.235373,16.069774
255307,105.836234,21.026388
255441,108.435257,11.939713
255465,107.595273,16.471938
255472,108.435143,11.942814
255490,105.845302,21.039833
255491,105.848167,21.029192
255653,105.855522,21.024494
255934,106.714451,10.869411
255951,108.219315,16.0783
255972,106.740246,10.971865
256026,106.693043,10.767821
256060,109.193886,12.238683
256063,109.199218,12.227842
256077,106.691306,10.7675
256079,109.210416,12.196142
256096,106.693504,10.780354
256120,106.990957,20.920678
256146,106.704387,10.779346
256345,109.264145,12.372344
256356,105.964632,20.273545
256455,103.841363,22.337009
256563,103.965104,10.191338
256568,103.848292,22.337744
256663,107.845874,10.705262
262435,105.830526,21.061799
